,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,City,State
441,"Sonora, CA",43760,2017,362,231,106,25,0,0,0,143,93,44,0,0,362,0,0,Sonora, CA
456,"Stockton-Lodi, CA",44700,2017,365,185,147,33,0,0,0,146,100,50,0,3,198,149,15,Stockton-Lodi, CA
472,"Truckee-Grass Valley, CA",46020,2017,365,200,84,62,19,0,0,185,133,49,0,0,353,12,0,Truckee-Grass Valley, CA
479,"Ukiah, CA",46380,2017,365,273,84,7,1,0,0,188,66,39,0,0,185,176,4,Ukiah, CA
483,"Vallejo-Fairfield, CA",46700,2017,365,244,111,5,5,0,0,175,71,44,0,3,199,163,0,Vallejo-Fairfield, CA
490,"Visalia-Porterville, CA",47300,2017,365,93,145,96,31,0,0,168,147,80,0,1,236,119,9,Visalia-Porterville, CA
520,"Yuba City, CA",49700,2017,365,181,175,9,0,0,0,130,82,51,0,0,172,189,4,Yuba City, CA
29,"Bakersfield, CA",12540,2018,365,65,170,103,27,0,0,190,142,84,0,0,246,106,13,Bakersfield, CA
46,"Bishop, CA",13860,2018,365,198,130,26,8,2,1,624,101,48,0,0,311,20,34,Bishop, CA
86,"Chico, CA",17020,2018,365,152,173,22,11,3,4,445,104,54,0,0,203,161,1,Chico, CA
91,"Clearlake, CA",17340,2018,357,347,7,1,1,1,0,208,43,33,0,0,344,11,2,Clearlake, CA
109,"Crescent City, CA",18860,2018,180,162,18,0,0,0,0,77,52,25,0,0,0,180,0,Crescent City, CA
139,"El Centro, CA",20940,2018,365,95,220,41,7,2,0,286,108,62,0,7,129,100,129,El Centro, CA
150,"Eureka-Arcata-Fortuna, CA",21700,2018,365,324,35,5,1,0,0,163,53,34,0,2,251,94,18,Eureka-Arcata-Fortuna, CA
171,"Fresno, CA",23420,2018,365,84,183,79,19,0,0,185,133,74,0,3,231,121,10,Fresno, CA
196,"Hanford-Corcoran, CA",25260,2018,365,89,218,49,9,0,0,180,114,69,0,0,186,123,56,Hanford-Corcoran, CA
275,"Los Angeles-Long Beach-Anaheim, CA",31080,2018,365,35,220,90,19,1,0,201,133,78,0,31,178,153,3,Los Angeles-Long Beach-Anaheim, CA
281,"Madera, CA",31460,2018,365,152,178,30,5,0,0,165,100,56,0,0,210,120,35,Madera, CA
293,"Merced, CA",32900,2018,365,173,151,32,9,0,0,171,101,51,0,1,196,167,1,Merced, CA
304,"Modesto, CA",33700,2018,365,157,161,32,14,1,0,240,108,54,0,2,203,151,9,Modesto, CA
322,"Napa, CA",34900,2018,364,273,79,4,8,0,0,183,61,39,1,1,165,196,1,Napa, CA
344,"Oxnard-Thousand Oaks-Ventura, CA",37100,2018,365,174,174,16,1,0,0,166,87,52,0,2,213,138,12,Oxnard-Thousand Oaks-Ventura, CA
380,"Red Bluff, CA",39780,2018,365,226,110,16,13,0,0,190,95,45,0,0,239,126,0,Red Bluff, CA
382,"Redding, CA",39820,2018,365,277,67,15,6,0,0,190,82,43,0,0,343,21,1,Redding, CA
385,"Riverside-San Bernardino-Ontario, CA",40140,2018,365,25,167,107,53,13,0,296,166,97,0,14,207,111,33,Riverside-San Bernardino-Ontario, CA
399,"Sacramento--Roseville--Arden-Arcade, CA",40900,2018,365,130,178,36,15,5,1,314,122,60,0,0,231,131,3,Sacramento--Roseville--Arden-Arcade, CA
402,"Salinas, CA",41500,2018,365,319,39,5,2,0,0,155,52,38,0,1,212,93,59,Salinas, CA
406,"San Diego-Carlsbad, CA",41740,2018,365,73,257,35,0,0,0,143,100,64,0,1,202,162,0,San Diego-Carlsbad, CA
407,"San Francisco-Oakland-Hayward, CA",41860,2018,365,147,199,7,9,3,0,245,80,53,0,14,61,290,0,San Francisco-Oakland-Hayward, CA
408,"San Jose-Sunnyvale-Santa Clara, CA",41940,2018,365,216,131,7,11,0,0,194,74,47,0,1,193,171,0,San Jose-Sunnyvale-Santa Clara, CA
410,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2018,365,202,154,9,0,0,0,133,74,49,0,0,234,92,39,San Luis Obispo-Paso Robles-Arroyo Grande, CA
413,"Santa Cruz-Watsonville, CA",42100,2018,365,331,24,5,5,0,0,170,50,36,0,0,221,144,0,Santa Cruz-Watsonville, CA
415,"Santa Maria-Santa Barbara, CA",42200,2018,365,244,119,2,0,0,0,114,64,47,0,0,266,86,13,Santa Maria-Santa Barbara, CA
416,"Santa Rosa, CA",42220,2018,365,325,27,3,8,2,0,226,52,36,0,2,280,82,1,Santa Rosa, CA
438,"Sonora, CA",43760,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0,Sonora, CA
453,"Stockton-Lodi, CA",44700,2018,365,152,180,20,10,2,1,308,99,54,0,1,154,204,6,Stockton-Lodi, CA
467,"Truckee-Grass Valley, CA",46020,2018,363,245,90,19,9,0,0,196,87,44,0,0,327,36,0,Truckee-Grass Valley, CA
474,"Ukiah, CA",46380,2018,364,289,54,13,6,1,1,314,64,37,0,0,151,209,4,Ukiah, CA
478,"Vallejo-Fairfield, CA",46700,2018,365,263,87,3,11,1,0,247,64,42,0,3,184,178,0,Vallejo-Fairfield, CA
485,"Visalia-Porterville, CA",47300,2018,365,73,171,95,26,0,0,174,140,77,0,0,233,124,8,Visalia-Porterville, CA
515,"Yuba City, CA",49700,2018,365,153,177,22,7,5,1,335,100,54,0,0,166,198,1,Yuba City, CA
29,"Bakersfield, CA",12540,2019,365,119,151,87,6,1,1,548,122,67,0,2,260,73,30,Bakersfield, CA
45,"Bishop, CA",13860,2019,365,232,121,6,2,1,3,638,84,47,0,0,319,14,32,Bishop, CA
85,"Chico, CA",17020,2019,365,224,136,3,2,0,0,173,67,46,0,0,231,133,1,Chico, CA
90,"Clearlake, CA",17340,2019,360,360,0,0,0,0,0,50,41,31,0,0,356,3,1,Clearlake, CA
108,"Crescent City, CA",18860,2019,248,236,12,0,0,0,0,71,43,20,0,0,0,248,0,Crescent City, CA
137,"El Centro, CA",20940,2019,365,125,219,19,2,0,0,185,93,58,0,1,210,79,75,El Centro, CA
148,"Eureka-Arcata-Fortuna, CA",21700,2019,363,353,10,0,0,0,0,65,40,27,2,1,272,50,38,Eureka-Arcata-Fortuna, CA
169,"Fresno, CA",23420,2019,365,139,160,64,2,0,0,187,115,60,0,3,259,80,23,Fresno, CA
194,"Hanford-Corcoran, CA",25260,2019,365,152,172,37,2,0,2,507,105,56,0,0,190,103,72,Hanford-Corcoran, CA
273,"Los Angeles-Long Beach-Anaheim, CA",31080,2019,365,66,208,62,28,1,0,201,140,72,0,33,205,118,9,Los Angeles-Long Beach-Anaheim, CA
279,"Madera, CA",31460,2019,365,189,163,13,0,0,0,140,84,50,0,0,259,67,39,Madera, CA
293,"Merced, CA",32900,2019,365,213,145,7,0,0,0,119,79,48,0,0,250,113,2,Merced, CA
304,"Modesto, CA",33700,2019,365,201,141,22,1,0,0,177,91,49,0,0,245,107,13,Modesto, CA
321,"Napa, CA",34900,2019,363,330,31,2,0,0,0,119,49,35,2,0,265,96,0,Napa, CA
343,"Oxnard-Thousand Oaks-Ventura, CA",37100,2019,365,214,142,9,0,0,0,126,77,46,0,5,284,65,11,Oxnard-Thousand Oaks-Ventura, CA
379,"Red Bluff, CA",39780,2019,365,282,83,0,0,0,0,93,64,41,0,0,323,41,1,Red Bluff, CA
381,"Redding, CA",39820,2019,364,311,53,0,0,0,0,100,54,42,0,0,352,10,2,Redding, CA
384,"Riverside-San Bernardino-Ontario, CA",40140,2019,365,42,178,79,58,8,0,213,169,89,0,11,228,89,37,Riverside-San Bernardino-Ontario, CA
399,"Sacramento--Roseville--Arden-Arcade, CA",40900,2019,365,181,164,20,0,0,0,140,90,51,0,1,251,107,6,Sacramento--Roseville--Arden-Arcade, CA
402,"Salinas, CA",41500,2019,365,330,34,1,0,0,0,144,50,37,2,0,288,61,14,Salinas, CA
406,"San Diego-Carlsbad, CA",41740,2019,365,87,253,23,2,0,0,169,93,64,0,2,176,184,3,San Diego-Carlsbad, CA
407,"San Francisco-Oakland-Hayward, CA",41860,2019,365,254,102,9,0,0,0,150,66,43,0,23,190,152,0,San Francisco-Oakland-Hayward, CA
408,"San Jose-Sunnyvale-Santa Clara, CA",41940,2019,365,263,98,4,0,0,0,136,67,43,0,2,236,123,4,San Jose-Sunnyvale-Santa Clara, CA
410,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2019,365,230,132,3,0,0,0,108,74,46,0,0,282,45,38,San Luis Obispo-Paso Robles-Arroyo Grande, CA
412,"Santa Cruz-Watsonville, CA",42100,2019,365,347,18,0,0,0,0,70,46,35,0,0,262,103,0,Santa Cruz-Watsonville, CA
414,"Santa Maria-Santa Barbara, CA",42200,2019,365,286,78,1,0,0,0,105,59,43,0,0,295,57,13,Santa Maria-Santa Barbara, CA
415,"Santa Rosa, CA",42220,2019,365,348,17,0,0,0,0,87,44,33,0,3,258,94,10,Santa Rosa, CA
437,"Sonora, CA",43760,2019,358,273,83,2,0,0,0,108,67,43,0,0,358,0,0,Sonora, CA
452,"Stockton-Lodi, CA",44700,2019,365,231,122,11,1,0,0,190,80,44,0,3,236,109,17,Stockton-Lodi, CA
466,"Truckee-Grass Valley, CA",46020,2019,361,273,83,5,0,0,0,122,71,44,0,0,326,35,0,Truckee-Grass Valley, CA
473,"Ukiah, CA",46380,2019,361,334,27,0,0,0,0,77,47,33,0,0,229,120,12,Ukiah, CA
477,"Vallejo-Fairfield, CA",46700,2019,365,290,74,1,0,0,0,119,59,40,0,2,225,138,0,Vallejo-Fairfield, CA
484,"Visalia-Porterville, CA",47300,2019,365,127,157,78,2,1,0,280,122,66,0,2,242,99,22,Visalia-Porterville, CA
514,"Yuba City, CA",49700,2019,365,239,124,2,0,0,0,110,71,44,0,0,249,109,7,Yuba City, CA
29,"Bakersfield, CA",12540,2020,366,78,158,98,30,2,0,267,140,81,0,0,206,143,17,Bakersfield, CA
46,"Bishop, CA",13860,2020,366,172,139,23,19,5,8,684,130,52,0,0,228,116,22,Bishop, CA
86,"Chico, CA",17020,2020,366,183,144,18,18,2,1,379,110,51,0,0,195,164,7,Chico, CA
91,"Clearlake, CA",17340,2020,351,341,6,1,3,0,0,180,43,32,0,0,336,13,2,Clearlake, CA
109,"Crescent City, CA",18860,2020,292,248,35,4,4,1,0,220,55,32,0,0,0,292,0,Crescent City, CA
137,"El Centro, CA",20940,2020,366,119,219,26,2,0,0,166,97,58,0,2,181,73,110,El Centro, CA
148,"Eureka-Arcata-Fortuna, CA",21700,2020,366,333,30,3,0,0,0,109,44,29,0,0,236,68,62,Eureka-Arcata-Fortuna, CA
168,"Fresno, CA",23420,2020,366,94,173,59,34,6,0,298,153,74,0,3,168,180,15,Fresno, CA
192,"Hanford-Corcoran, CA",25260,2020,366,98,198,54,15,0,1,543,124,67,0,0,148,164,54,Hanford-Corcoran, CA
269,"Los Angeles-Long Beach-Anaheim, CA",31080,2020,366,60,164,79,47,16,0,235,166,84,0,23,210,128,5,Los Angeles-Long Beach-Anaheim, CA
275,"Madera, CA",31460,2020,366,137,176,34,17,2,0,250,113,61,0,0,192,149,25,Madera, CA
288,"Merced, CA",32900,2020,366,171,163,17,15,0,0,183,95,53,0,0,192,173,1,Merced, CA
299,"Modesto, CA",33700,2020,366,156,173,21,16,0,0,189,102,55,0,1,195,150,20,Modesto, CA
315,"Napa, CA",34900,2020,365,298,52,7,8,0,0,199,62,36,3,0,227,135,0,Napa, CA
337,"Oxnard-Thousand Oaks-Ventura, CA",37100,2020,366,225,115,21,5,0,0,174,90,47,0,0,299,58,9,Oxnard-Thousand Oaks-Ventura, CA
373,"Red Bluff, CA",39780,2020,366,249,84,12,21,0,0,196,93,43,0,0,244,122,0,Red Bluff, CA
375,"Redding, CA",39820,2020,366,295,63,6,2,0,0,166,64,41,0,0,336,30,0,Redding, CA
378,"Riverside-San Bernardino-Ontario, CA",40140,2020,366,37,153,82,72,20,2,576,187,98,0,10,216,104,36,Riverside-San Bernardino-Ontario, CA
393,"Sacramento--Roseville--Arden-Arcade, CA",40900,2020,366,132,184,23,24,3,0,222,123,60,0,1,200,156,9,Sacramento--Roseville--Arden-Arcade, CA
396,"Salinas, CA",41500,2020,366,299,52,4,9,2,0,250,63,36,0,0,223,106,37,Salinas, CA
400,"San Diego-Carlsbad, CA",41740,2020,366,60,257,35,14,0,0,192,108,71,0,2,118,243,3,San Diego-Carlsbad, CA
401,"San Francisco-Oakland-Hayward, CA",41860,2020,366,225,119,9,12,1,0,218,83,45,0,14,155,197,0,San Francisco-Oakland-Hayward, CA
402,"San Jose-Sunnyvale-Santa Clara, CA",41940,2020,366,227,117,11,11,0,0,186,80,45,0,4,190,168,4,San Jose-Sunnyvale-Santa Clara, CA
404,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2020,366,211,124,21,8,2,0,292,90,48,0,0,250,96,20,San Luis Obispo-Paso Robles-Arroyo Grande, CA
406,"Santa Cruz-Watsonville, CA",42100,2020,366,304,42,6,10,2,2,426,64,34,0,0,207,159,0,Santa Cruz-Watsonville, CA
408,"Santa Maria-Santa Barbara, CA",42200,2020,366,273,80,9,4,0,0,168,66,42,0,0,247,113,6,Santa Maria-Santa Barbara, CA
409,"Santa Rosa, CA",42220,2020,366,319,40,1,6,0,0,187,53,33,0,1,215,139,11,Santa Rosa, CA
428,"Sonora, CA",43760,2020,353,277,71,5,0,0,0,143,64,41,0,0,353,0,0,Sonora, CA
443,"Stockton-Lodi, CA",44700,2020,366,197,138,16,15,0,0,195,96,48,0,0,177,169,20,Stockton-Lodi, CA
457,"Truckee-Grass Valley, CA",46020,2020,366,268,66,15,13,4,0,252,90,41,0,0,237,129,0,Truckee-Grass Valley, CA
464,"Ukiah, CA",46380,2020,366,280,63,10,10,1,2,456,76,34,0,0,179,182,5,Ukiah, CA
468,"Vallejo-Fairfield, CA",46700,2020,366,257,93,9,6,1,0,204,76,41,0,0,191,174,1,Vallejo-Fairfield, CA
475,"Visalia-Porterville, CA",47300,2020,366,79,152,103,30,2,0,209,145,79,0,0,186,166,14,Visalia-Porterville, CA
502,"Yuba City, CA",49700,2020,366,208,127,15,14,1,1,303,89,48,0,0,183,179,4,Yuba City, CA
29,"Bakersfield, CA",12540,2021,365,65,172,97,29,1,1,316,147,84,0,0,185,159,21,Bakersfield, CA
47,"Bishop, CA",13860,2021,365,131,191,25,13,2,3,552,115,58,0,0,181,153,31,Bishop, CA
87,"Chico, CA",17020,2021,365,198,136,18,11,2,0,233,90,48,0,0,222,140,3,Chico, CA
92,"Clearlake, CA",17340,2021,356,350,5,0,1,0,0,156,43,33,0,0,341,13,2,Clearlake, CA
110,"Crescent City, CA",18860,2021,323,303,20,0,0,0,0,69,45,23,0,0,0,323,0,Crescent City, CA
139,"El Centro, CA",20940,2021,365,113,223,22,4,1,2,442,97,58,0,1,161,65,138,El Centro, CA
150,"Eureka-Arcata-Fortuna, CA",21700,2021,365,353,12,0,0,0,0,60,40,28,12,0,234,60,59,Eureka-Arcata-Fortuna, CA
170,"Fresno, CA",23420,2021,365,102,181,63,18,1,0,278,130,67,0,1,186,161,17,Fresno, CA
194,"Hanford-Corcoran, CA",25260,2021,365,113,201,40,10,0,1,666,109,61,0,0,139,139,87,Hanford-Corcoran, CA
271,"Los Angeles-Long Beach-Anaheim, CA",31080,2021,365,39,228,71,26,1,0,281,143,77,0,24,168,165,8,Los Angeles-Long Beach-Anaheim, CA
277,"Madera, CA",31460,2021,365,157,173,28,7,0,0,194,100,56,0,0,237,103,25,Madera, CA
290,"Merced, CA",32900,2021,365,184,148,31,2,0,0,162,100,50,0,0,247,113,5,Merced, CA
301,"Modesto, CA",33700,2021,365,136,182,42,5,0,0,172,105,58,0,0,193,157,15,Modesto, CA
317,"Napa, CA",34900,2021,140,127,13,0,0,0,0,77,50,38,1,0,101,38,0,Napa, CA
339,"Oxnard-Thousand Oaks-Ventura, CA",37100,2021,365,208,147,10,0,0,0,122,78,48,0,0,278,75,12,Oxnard-Thousand Oaks-Ventura, CA
375,"Red Bluff, CA",39780,2021,365,235,94,21,15,0,0,182,100,44,0,0,286,79,0,Red Bluff, CA
377,"Redding, CA",39820,2021,365,234,99,15,15,2,0,216,93,45,0,0,297,68,0,Redding, CA
380,"Riverside-San Bernardino-Ontario, CA",40140,2021,365,26,173,83,69,12,2,487,174,97,0,11,197,113,44,Riverside-San Bernardino-Ontario, CA
395,"Sacramento--Roseville--Arden-Arcade, CA",40900,2021,365,138,169,38,12,5,3,448,126,62,0,0,241,122,2,Sacramento--Roseville--Arden-Arcade, CA
398,"Salinas, CA",41500,2021,365,321,44,0,0,0,0,80,52,37,0,0,239,108,18,Salinas, CA
402,"San Diego-Carlsbad, CA",41740,2021,365,98,251,16,0,0,0,133,90,64,0,4,217,141,3,San Diego-Carlsbad, CA
403,"San Francisco-Oakland-Hayward, CA",41860,2021,365,212,143,9,1,0,0,151,69,46,0,4,175,186,0,San Francisco-Oakland-Hayward, CA
404,"San Jose-Sunnyvale-Santa Clara, CA",41940,2021,365,221,137,7,0,0,0,147,72,46,0,0,200,161,4,San Jose-Sunnyvale-Santa Clara, CA
406,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2021,365,209,148,8,0,0,0,133,77,48,0,0,246,92,27,San Luis Obispo-Paso Robles-Arroyo Grande, CA
408,"Santa Cruz-Watsonville, CA",42100,2021,365,339,26,0,0,0,0,77,47,34,0,0,256,109,0,Santa Cruz-Watsonville, CA
410,"Santa Maria-Santa Barbara, CA",42200,2021,365,300,64,1,0,0,0,101,55,41,0,0,278,84,3,Santa Maria-Santa Barbara, CA
411,"Santa Rosa, CA",42220,2021,365,321,44,0,0,0,0,88,52,33,0,0,217,137,11,Santa Rosa, CA
430,"Sonora, CA",43760,2021,360,295,63,2,0,0,0,136,61,41,0,0,360,0,0,Sonora, CA
445,"Stockton-Lodi, CA",44700,2021,365,178,171,15,1,0,0,153,84,51,0,0,170,165,30,Stockton-Lodi, CA
459,"Truckee-Grass Valley, CA",46020,2021,365,221,91,34,15,4,0,288,115,45,0,0,240,125,0,Truckee-Grass Valley, CA
466,"Ukiah, CA",46380,2021,365,273,84,6,2,0,0,176,65,38,0,0,144,220,1,Ukiah, CA
470,"Vallejo-Fairfield, CA",46700,2021,365,267,95,3,0,0,0,126,62,40,0,1,239,124,1,Vallejo-Fairfield, CA
477,"Visalia-Porterville, CA",47300,2021,365,78,153,93,39,1,1,537,153,80,0,0,205,151,9,Visalia-Porterville, CA
504,"Yuba City, CA",49700,2021,364,165,177,17,5,0,0,169,90,54,0,0,149,214,1,Yuba City, CA
29,"Bakersfield, CA",12540,2022,210,81,106,21,2,0,0,152,107,57,0,0,102,92,16,Bakersfield, CA
46,"Bishop, CA",13860,2022,304,162,125,11,2,2,2,1445,85,50,0,0,177,94,33,Bishop, CA
85,"Chico, CA",17020,2022,187,144,43,0,0,0,0,90,67,43,1,0,143,43,0,Chico, CA
90,"Clearlake, CA",17340,2022,15,15,0,0,0,0,0,33,23,16,0,0,0,14,1,Clearlake, CA
108,"Crescent City, CA",18860,2022,171,163,8,0,0,0,0,70,40,23,0,0,0,171,0,Crescent City, CA
136,"El Centro, CA",20940,2022,238,82,122,23,4,2,5,762,114,57,0,4,74,42,118,El Centro, CA
146,"Eureka-Arcata-Fortuna, CA",21700,2022,274,269,5,0,0,0,0,68,32,23,1,0,214,30,29,Eureka-Arcata-Fortuna, CA
166,"Fresno, CA",23420,2022,243,77,134,31,1,0,0,151,103,64,0,0,166,73,4,Fresno, CA
190,"Hanford-Corcoran, CA",25260,2022,304,76,197,30,1,0,0,187,101,67,0,0,174,72,58,Hanford-Corcoran, CA
265,"Los Angeles-Long Beach-Anaheim, CA",31080,2022,182,18,131,20,13,0,0,192,129,70,1,29,86,58,8,Los Angeles-Long Beach-Anaheim, CA
271,"Madera, CA",31460,2022,120,70,48,2,0,0,0,112,79,48,0,0,67,51,2,Madera, CA
284,"Merced, CA",32900,2022,90,41,47,2,0,0,0,115,85,53,0,0,31,58,1,Merced, CA
295,"Modesto, CA",33700,2022,186,103,76,7,0,0,0,111,91,48,1,0,89,93,3,Modesto, CA
332,"Oxnard-Thousand Oaks-Ventura, CA",37100,2022,243,141,98,4,0,0,0,140,80,48,0,1,211,31,0,Oxnard-Thousand Oaks-Ventura, CA
368,"Red Bluff, CA",39780,2022,191,172,19,0,0,0,0,100,50,39,0,0,161,20,10,Red Bluff, CA
370,"Redding, CA",39820,2022,207,186,21,0,0,0,0,71,51,44,0,0,201,1,5,Redding, CA
373,"Riverside-San Bernardino-Ontario, CA",40140,2022,243,25,125,57,29,2,5,1564,164,84,0,13,116,49,65,Riverside-San Bernardino-Ontario, CA
386,"Sacramento--Roseville--Arden-Arcade, CA",40900,2022,273,120,136,17,0,0,0,133,93,54,0,0,221,51,1,Sacramento--Roseville--Arden-Arcade, CA
389,"Salinas, CA",41500,2022,182,166,16,0,0,0,0,63,49,39,1,0,135,31,15,Salinas, CA
393,"San Diego-Carlsbad, CA",41740,2022,283,156,120,6,1,0,0,156,77,49,0,2,101,176,4,San Diego-Carlsbad, CA
394,"San Francisco-Oakland-Hayward, CA",41860,2022,244,159,83,2,0,0,0,122,64,44,1,2,127,114,0,San Francisco-Oakland-Hayward, CA
395,"San Jose-Sunnyvale-Santa Clara, CA",41940,2022,244,167,75,2,0,0,0,112,68,44,1,0,176,67,0,San Jose-Sunnyvale-Santa Clara, CA
397,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2022,181,64,115,2,0,0,0,115,72,55,0,0,80,92,9,San Luis Obispo-Paso Robles-Arroyo Grande, CA
399,"Santa Cruz-Watsonville, CA",42100,2022,181,170,11,0,0,0,0,54,47,35,0,0,117,64,0,Santa Cruz-Watsonville, CA
401,"Santa Maria-Santa Barbara, CA",42200,2022,182,148,34,0,0,0,0,93,56,43,1,0,150,30,1,Santa Maria-Santa Barbara, CA
402,"Santa Rosa, CA",42220,2022,244,229,15,0,0,0,0,61,47,32,1,0,175,66,2,Santa Rosa, CA
421,"Sonora, CA",43760,2022,180,177,3,0,0,0,0,71,45,37,0,0,180,0,0,Sonora, CA
436,"Stockton-Lodi, CA",44700,2022,182,123,56,3,0,0,0,109,84,43,3,0,114,61,4,Stockton-Lodi, CA
450,"Truckee-Grass Valley, CA",46020,2022,243,146,89,8,0,0,0,119,84,48,0,0,207,36,0,Truckee-Grass Valley, CA
460,"Vallejo-Fairfield, CA",46700,2022,273,222,51,0,0,0,0,90,61,40,0,0,212,61,0,Vallejo-Fairfield, CA
468,"Visalia-Porterville, CA",47300,2022,212,70,96,44,2,0,0,156,119,67,0,0,142,70,0,Visalia-Porterville, CA
494,"Yuba City, CA",49700,2022,181,116,64,1,0,0,0,102,76,46,0,0,107,74,0,Yuba City, CA
44,"Billings, MT",13740,2012,362,331,31,0,0,0,0,94,45,18,0,0,0,362,0,Billings, MT
56,"Bozeman, MT",14580,2012,366,305,53,8,0,0,0,138,62,25,1,30,0,335,0,Bozeman, MT
68,"Butte-Silver Bow, MT",15580,2012,363,257,93,8,5,0,0,174,78,31,0,0,0,285,78,Butte-Silver Bow, MT
187,"Great Falls, MT",24500,2012,360,299,58,3,0,0,0,132,57,32,0,0,0,360,0,Great Falls, MT
204,"Helena, MT",25740,2012,366,271,88,7,0,0,0,148,67,40,0,0,208,158,0,Helena, MT
236,"Kalispell, MT",28060,2012,366,297,69,0,0,0,0,94,60,38,0,0,220,118,28,Kalispell, MT
310,"Missoula, MT",33540,2012,366,99,220,32,15,0,0,178,117,61,0,0,56,308,2,Missoula, MT
44,"Billings, MT",13740,2013,355,349,6,0,0,0,0,77,36,14,0,0,0,355,0,Billings, MT
56,"Bozeman, MT",14580,2013,365,334,31,0,0,0,0,76,48,24,0,7,0,358,0,Bozeman, MT
67,"Butte-Silver Bow, MT",15580,2013,365,275,84,5,1,0,0,152,64,29,0,0,0,314,51,Butte-Silver Bow, MT
188,"Great Falls, MT",24500,2013,337,311,26,0,0,0,0,71,48,26,0,0,0,337,0,Great Falls, MT
205,"Helena, MT",25740,2013,365,314,51,0,0,0,0,100,57,38,0,0,249,116,0,Helena, MT
237,"Kalispell, MT",28060,2013,365,284,77,4,0,0,0,125,59,40,0,0,185,140,40,Kalispell, MT
308,"Missoula, MT",33540,2013,365,156,185,18,6,0,0,163,89,55,0,0,98,267,0,Missoula, MT
45,"Billings, MT",13740,2014,324,287,37,0,0,0,0,76,52,25,0,0,0,324,0,Billings, MT
57,"Bozeman, MT",14580,2014,365,325,40,0,0,0,0,85,51,25,0,10,0,355,0,Bozeman, MT
68,"Butte-Silver Bow, MT",15580,2014,362,279,82,1,0,0,0,108,61,30,0,0,0,325,37,Butte-Silver Bow, MT
188,"Great Falls, MT",24500,2014,330,270,58,1,1,0,0,154,56,29,0,0,0,330,0,Great Falls, MT
206,"Helena, MT",25740,2014,365,295,65,5,0,0,0,150,60,41,0,0,265,100,0,Helena, MT
238,"Kalispell, MT",28060,2014,365,291,72,2,0,0,0,141,60,38,0,0,196,137,32,Kalispell, MT
309,"Missoula, MT",33540,2014,365,222,125,16,2,0,0,157,86,43,0,0,145,216,4,Missoula, MT
45,"Billings, MT",13740,2015,325,301,23,1,0,0,0,122,45,28,0,0,0,325,0,Billings, MT
57,"Bozeman, MT",14580,2015,365,319,42,3,1,0,0,174,54,22,10,22,0,333,0,Bozeman, MT
68,"Butte-Silver Bow, MT",15580,2015,365,288,67,4,6,0,0,168,65,30,0,0,0,317,48,Butte-Silver Bow, MT
188,"Great Falls, MT",24500,2015,347,306,32,3,6,0,0,165,54,26,0,0,0,347,0,Great Falls, MT
208,"Helena, MT",25740,2015,365,290,62,8,5,0,0,171,67,41,0,0,241,124,0,Helena, MT
241,"Kalispell, MT",28060,2015,365,265,88,3,9,0,0,180,72,42,0,0,171,144,50,Kalispell, MT
309,"Missoula, MT",33540,2015,365,185,157,14,9,0,0,191,91,49,0,0,81,282,2,Missoula, MT
45,"Billings, MT",13740,2016,323,307,15,1,0,0,0,124,43,23,0,0,0,323,0,Billings, MT
56,"Bozeman, MT",14580,2016,366,317,38,7,3,0,1,365,56,25,3,10,0,353,0,Bozeman, MT
66,"Butte-Silver Bow, MT",15580,2016,366,310,56,0,0,0,0,94,59,22,0,0,0,315,51,Butte-Silver Bow, MT
184,"Great Falls, MT",24500,2016,356,343,13,0,0,0,0,72,39,25,0,0,0,356,0,Great Falls, MT
204,"Helena, MT",25740,2016,366,316,43,7,0,0,0,146,53,40,0,0,277,89,0,Helena, MT
237,"Kalispell, MT",28060,2016,366,326,40,0,0,0,0,77,51,35,0,0,238,79,49,Kalispell, MT
305,"Missoula, MT",33540,2016,366,166,175,25,0,0,0,139,95,53,0,0,50,316,0,Missoula, MT
44,"Billings, MT",13740,2017,356,304,47,5,0,0,0,141,58,25,0,0,0,356,0,Billings, MT
55,"Bozeman, MT",14580,2017,365,288,74,2,1,0,0,152,66,23,2,18,0,345,0,Bozeman, MT
65,"Butte-Silver Bow, MT",15580,2017,354,230,100,20,4,0,0,180,92,35,0,0,0,329,25,Butte-Silver Bow, MT
183,"Great Falls, MT",24500,2017,345,295,49,1,0,0,0,105,55,29,0,0,0,345,0,Great Falls, MT
203,"Helena, MT",25740,2017,365,237,99,17,12,0,0,170,92,45,0,0,221,144,0,Helena, MT
236,"Kalispell, MT",28060,2017,365,280,74,5,3,3,0,250,67,39,0,0,190,139,36,Kalispell, MT
304,"Missoula, MT",33540,2017,365,111,181,24,14,17,18,593,176,61,0,0,52,313,0,Missoula, MT
