,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,City,State
348,"Oxnard-Thousand Oaks-Ventura, CA",37100,2013,365,182,172,10,1,0,0,159,77,51,0,6,234,120,5,Oxnard-Thousand Oaks-Ventura, CA
383,"Red Bluff, CA",39780,2013,365,254,100,11,0,0,0,136,74,43,0,0,297,67,1,Red Bluff, CA
385,"Redding, CA",39820,2013,365,297,66,2,0,0,0,105,64,42,0,0,351,13,1,Redding, CA
389,"Riverside-San Bernardino-Ontario, CA",40140,2013,365,24,183,96,57,3,2,455,164,97,0,7,201,113,44,Riverside-San Bernardino-Ontario, CA
403,"Sacramento--Roseville--Arden-Arcade, CA",40900,2013,365,108,207,44,6,0,0,161,110,64,0,2,218,142,3,Sacramento--Roseville--Arden-Arcade, CA
406,"Salinas, CA",41500,2013,365,319,46,0,0,0,0,96,52,38,0,4,219,111,31,Salinas, CA
410,"San Diego-Carlsbad, CA",41740,2013,365,56,272,35,1,0,1,617,101,66,9,20,152,156,28,San Diego-Carlsbad, CA
411,"San Francisco-Oakland-Hayward, CA",41860,2013,365,160,196,9,0,0,0,133,80,53,0,17,62,286,0,San Francisco-Oakland-Hayward, CA
412,"San Jose-Sunnyvale-Santa Clara, CA",41940,2013,365,189,164,11,1,0,0,152,84,50,0,0,191,173,1,San Jose-Sunnyvale-Santa Clara, CA
414,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2013,365,104,247,14,0,0,0,136,90,59,0,0,175,157,33,San Luis Obispo-Paso Robles-Arroyo Grande, CA
417,"Santa Cruz-Watsonville, CA",42100,2013,365,280,63,22,0,0,0,149,83,38,0,0,242,123,0,Santa Cruz-Watsonville, CA
419,"Santa Maria-Santa Barbara, CA",42200,2013,365,240,122,3,0,0,0,122,64,46,0,2,256,103,4,Santa Maria-Santa Barbara, CA
420,"Santa Rosa, CA",42220,2013,365,291,74,0,0,0,0,85,61,36,0,3,218,142,2,Santa Rosa, CA
444,"Sonora, CA",43760,2013,364,284,78,2,0,0,0,119,64,43,0,0,364,0,0,Sonora, CA
459,"Stockton-Lodi, CA",44700,2013,365,122,210,24,9,0,0,157,99,57,0,0,88,261,16,Stockton-Lodi, CA
475,"Truckee-Grass Valley, CA",46020,2013,362,207,134,21,0,0,0,140,91,48,0,0,337,25,0,Truckee-Grass Valley, CA
482,"Ukiah, CA",46380,2013,331,275,56,0,0,0,0,79,59,28,0,0,54,113,164,Ukiah, CA
486,"Vallejo-Fairfield, CA",46700,2013,365,230,124,11,0,0,0,132,73,44,0,3,180,182,0,Vallejo-Fairfield, CA
493,"Visalia-Porterville, CA",47300,2013,365,61,166,111,26,1,0,201,143,84,0,0,220,145,0,Visalia-Porterville, CA
523,"Yuba City, CA",49700,2013,365,205,151,9,0,0,0,126,84,48,0,5,233,126,1,Yuba City, CA
30,"Bakersfield, CA",12540,2014,365,32,173,117,42,0,1,307,154,97,0,0,230,127,8,Bakersfield, CA
47,"Bishop, CA",13860,2014,365,233,117,6,5,1,3,911,83,47,0,0,294,28,43,Bishop, CA
88,"Chico, CA",17020,2014,365,173,178,12,2,0,0,155,84,52,0,0,228,137,0,Chico, CA
93,"Clearlake, CA",17340,2014,357,335,22,0,0,0,0,93,48,37,0,0,352,4,1,Clearlake, CA
111,"Crescent City, CA",18860,2014,115,112,3,0,0,0,0,55,33,12,0,0,0,115,0,Crescent City, CA
141,"El Centro, CA",20940,2014,365,46,265,45,5,2,2,359,112,67,0,2,109,160,94,El Centro, CA
152,"Eureka-Arcata-Fortuna, CA",21700,2014,365,220,139,5,1,0,0,164,66,43,0,0,89,270,6,Eureka-Arcata-Fortuna, CA
173,"Fresno, CA",23420,2014,365,74,167,91,33,0,0,197,148,81,0,0,231,131,3,Fresno, CA
200,"Hanford-Corcoran, CA",25260,2014,365,85,203,52,25,0,0,172,126,71,0,0,204,116,45,Hanford-Corcoran, CA
279,"Los Angeles-Long Beach-Anaheim, CA",31080,2014,365,23,234,80,26,2,0,205,143,80,0,19,171,170,5,Los Angeles-Long Beach-Anaheim, CA
286,"Madera, CA",31460,2014,365,95,195,60,15,0,0,179,126,67,0,0,221,133,11,Madera, CA
301,"Merced, CA",32900,2014,364,148,158,56,2,0,0,156,113,60,0,2,250,110,2,Merced, CA
311,"Modesto, CA",33700,2014,365,142,164,53,6,0,0,164,114,58,0,0,248,114,3,Modesto, CA
326,"Napa, CA",34900,2014,365,214,151,0,0,0,0,88,65,46,0,0,74,291,0,Napa, CA
348,"Oxnard-Thousand Oaks-Ventura, CA",37100,2014,365,157,193,15,0,0,0,150,87,53,0,1,237,123,4,Oxnard-Thousand Oaks-Ventura, CA
382,"Red Bluff, CA",39780,2014,364,235,113,15,1,0,0,151,80,44,0,0,330,33,1,Red Bluff, CA
384,"Redding, CA",39820,2014,365,277,82,6,0,0,0,126,71,43,0,0,354,9,2,Redding, CA
388,"Riverside-San Bernardino-Ontario, CA",40140,2014,365,14,176,120,52,2,1,537,166,97,0,5,204,92,64,Riverside-San Bernardino-Ontario, CA
402,"Sacramento--Roseville--Arden-Arcade, CA",40900,2014,365,118,190,50,6,1,0,240,112,60,0,0,235,127,3,Sacramento--Roseville--Arden-Arcade, CA
405,"Salinas, CA",41500,2014,365,337,28,0,0,0,0,100,48,37,0,0,263,73,29,Salinas, CA
409,"San Diego-Carlsbad, CA",41740,2014,365,89,237,37,2,0,0,165,101,61,0,17,208,125,15,San Diego-Carlsbad, CA
410,"San Francisco-Oakland-Hayward, CA",41860,2014,365,200,155,10,0,0,0,133,74,48,0,14,116,235,0,San Francisco-Oakland-Hayward, CA
411,"San Jose-Sunnyvale-Santa Clara, CA",41940,2014,365,244,112,8,1,0,0,154,77,44,0,8,263,93,1,San Jose-Sunnyvale-Santa Clara, CA
413,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2014,365,138,213,14,0,0,0,126,87,55,0,0,179,172,14,San Luis Obispo-Paso Robles-Arroyo Grande, CA
416,"Santa Cruz-Watsonville, CA",42100,2014,365,301,52,12,0,0,0,136,66,35,0,0,244,121,0,Santa Cruz-Watsonville, CA
418,"Santa Maria-Santa Barbara, CA",42200,2014,365,224,135,4,2,0,0,159,64,47,0,2,248,107,8,Santa Maria-Santa Barbara, CA
419,"Santa Rosa, CA",42220,2014,365,314,51,0,0,0,0,81,54,37,0,0,227,136,2,Santa Rosa, CA
442,"Sonora, CA",43760,2014,334,214,104,16,0,0,0,133,87,46,0,0,334,0,0,Sonora, CA
